customer_id,cohort_month,country,first_purchase_date,last_purchase_date,customer_lifespan_days,total_orders,total_revenue,avg_order_value,first_order_value,is_churned,is_lapsed_90d,eligible_for_90d,retained_90d
12366,2010-03-01,Cyprus,2010-03-16,2010-03-16,0,1,500.24,500.24,500.24,1,1,1,0
12367,2011-12-01,Denmark,2011-12-05,2011-12-05,0,1,168.9,168.9,168.9,1,0,0,0
12368,2010-03-01,Cyprus,2010-03-21,2010-03-21,0,1,917.7,917.7,917.7,1,1,1,0
12369,2010-03-01,Austria,2010-03-08,2010-10-22,228,3,1791.15,597.05,348.32,0,1,1,0
12370,2010-02-01,Austria,2010-02-09,2011-10-19,617,7,4320.31,617.19,562.96,0,0,1,1
12371,2010-03-01,Switzerland,2010-03-04,2011-10-26,601,5,4067.38,813.48,320.88,0,0,1,1
12372,2011-02-01,Denmark,2011-02-16,2011-09-29,225,3,1298.04,432.68,399.22,0,0,1,1
12373,2010-02-01,Austria,2010-02-04,2011-02-01,362,3,1127.65,375.88,437.9,0,1,1,1
12374,2010-04-01,Austria,2010-04-30,2011-11-14,563,4,2989.22,747.31,1388.54,0,0,1,0
12375,2011-09-01,Finland,2011-09-02,2011-11-29,88,2,457.5,228.75,230.3,0,0,1,1
12376,2010-10-01,Switzerland,2010-10-18,2010-11-15,28,2,503.15,251.58,432.55,0,1,1,1
12377,2010-04-01,Switzerland,2010-04-29,2011-01-28,274,4,3426.32,856.58,1210.96,0,1,1,0
12378,2010-05-01,Switzerland,2010-05-26,2011-08-02,433,2,5416.32,2708.16,1407.7,0,1,1,0
12379,2010-06-01,Belgium,2010-06-23,2011-09-19,453,4,1620.22,405.06,367.48,0,0,1,0
12380,2010-02-01,Belgium,2010-02-15,2011-11-18,641,11,9676.3,879.66,1508.65,0,0,1,1
12381,2011-08-01,Norway,2011-08-12,2011-12-05,115,5,1845.31,369.06,1268.74,0,0,1,1
12383,2010-12-01,Belgium,2010-12-22,2011-06-08,168,5,1850.56,370.11,600.72,0,1,1,1
12384,2011-08-01,Switzerland,2011-08-10,2011-11-11,93,2,585.27,292.64,292.69,0,0,1,0
12385,2010-11-01,Belgium,2010-11-25,2010-11-25,0,1,1938.4,1938.4,1938.4,1,1,1,0
12386,2010-12-01,Australia,2010-12-08,2011-01-06,29,2,660.8,330.4,517.8,0,1,1,1
12387,2010-10-01,Australia,2010-10-20,2010-10-20,0,1,143.94,143.94,143.94,1,1,1,0
12388,2010-05-01,Australia,2010-05-06,2011-11-24,567,8,3901.11,487.64,461.62,0,0,1,0
12389,2010-02-01,Australia,2010-02-22,2010-11-02,253,3,1433.33,477.78,164.85,0,1,1,1
12390,2011-09-01,Belgium,2011-09-21,2011-09-21,0,1,549.84,549.84,549.84,1,0,0,0
12391,2010-02-01,Cyprus,2010-02-15,2011-11-18,641,6,2773.42,462.24,712.39,0,0,1,1
12392,2010-04-01,Australia,2010-04-27,2010-04-27,0,1,234.75,234.75,234.75,1,1,1,0
12393,2010-10-01,Australia,2010-10-07,2011-09-28,356,6,2399.45,399.91,303.8,0,0,1,1
12394,2011-05-01,Belgium,2011-05-06,2011-10-07,154,2,1272.48,636.24,381.08,0,0,1,0
12395,2010-04-01,Belgium,2010-04-16,2011-11-20,583,15,5067.27,337.82,1125.44,0,0,1,0
12396,2010-02-01,RSA,2010-02-03,2010-02-03,0,1,931.43,931.43,931.43,1,1,1,0
12397,2011-07-01,Belgium,2011-07-27,2011-11-04,100,2,2409.9,1204.95,1214.81,0,0,1,0
12398,2011-10-01,Switzerland,2011-10-25,2011-10-25,0,1,1635.66,1635.66,1635.66,1,0,0,0
12399,2010-03-01,Belgium,2010-03-05,2011-08-12,525,7,1962.3,280.33,205.98,0,1,1,0
12400,2010-10-01,Australia,2010-10-21,2010-10-21,0,1,205.25,205.25,205.25,1,1,1,0
12401,2011-02-01,Belgium,2011-02-09,2011-02-09,0,1,84.3,84.3,84.3,1,1,1,0
12402,2010-02-01,Belgium,2010-02-07,2011-01-20,347,6,1256.9,209.48,191.7,0,1,1,1
12403,2010-07-01,Denmark,2010-07-06,2011-10-21,472,2,1019.36,509.68,591.66,0,0,1,0
12404,2010-01-01,Finland,2010-01-26,2010-01-26,0,1,63.24,63.24,63.24,1,1,1,0
12405,2011-07-01,Finland,2011-07-14,2011-07-14,0,1,1710.39,1710.39,1710.39,1,1,1,0
12406,2010-01-01,Denmark,2010-01-11,2011-11-17,675,5,6390.36,1278.07,881.2,0,0,1,0
12407,2011-03-01,Belgium,2011-03-20,2011-10-21,215,5,1708.12,341.62,226.3,0,0,1,1
12408,2010-07-01,Belgium,2010-07-29,2011-11-07,466,8,4340.77,542.6,194.1,0,0,1,1
12409,2010-05-01,Switzerland,2010-05-23,2011-09-22,487,7,23419.29,3345.61,6802.48,0,0,1,1
12410,2010-07-01,Switzerland,2010-07-25,2011-02-04,194,3,1013.71,337.9,320.38,0,1,1,0
12411,2010-10-01,Australia,2010-10-26,2010-10-26,0,1,346.9,346.9,346.9,1,1,1,0
12412,2010-06-01,Denmark,2010-06-18,2011-09-26,465,6,2596.93,432.82,670.88,0,0,1,1
12413,2010-11-01,Spain,2010-11-02,2011-10-04,336,4,999.45,249.86,241.35,0,0,1,1
12414,2010-09-01,Austria,2010-09-02,2011-05-06,246,6,952.41,158.74,130.0,0,1,1,1
12415,2010-06-01,Australia,2010-06-30,2011-11-15,503,28,144458.37,5159.23,2326.74,0,0,1,1
12416,2010-02-01,Australia,2010-02-21,2010-02-21,0,1,202.56,202.56,202.56,1,1,1,0
12417,2009-12-01,Belgium,2009-12-06,2011-12-06,730,20,6816.91,340.85,309.1,0,0,1,1
12418,2010-03-01,Switzerland,2010-03-19,2011-08-19,518,4,2021.2,505.3,343.94,0,1,1,1
12419,2010-10-01,Spain,2010-10-22,2010-11-19,28,2,503.01,251.51,322.91,0,1,1,1
12420,2011-10-01,Cyprus,2011-10-07,2011-10-07,0,1,600.39,600.39,600.39,1,0,0,0
12421,2010-07-01,Spain,2010-07-22,2011-11-24,490,6,1098.6,183.1,77.8,0,0,1,0
12422,2009-12-01,Australia,2009-12-18,2011-09-05,626,17,5231.8,307.75,75.0,0,1,1,1
12423,2010-08-01,Denmark,2010-08-31,2011-12-09,465,10,2622.39,262.24,298.8,0,0,1,1
12424,2010-06-01,Australia,2010-06-09,2011-06-30,386,4,3340.03,835.01,446.54,0,1,1,0
12425,2010-09-01,Portugal,2010-09-17,2011-09-22,370,2,1741.41,870.7,964.21,0,0,1,0
12426,2010-02-01,Germany,2010-02-15,2011-05-29,468,2,1345.21,672.61,762.48,0,1,1,0
12427,2010-12-01,Germany,2010-12-03,2011-11-18,350,3,1129.3,376.43,607.0,0,0,1,0
12428,2011-03-01,Finland,2011-03-01,2011-11-14,258,9,7956.46,884.05,1943.4,0,0,1,1
12429,2010-06-01,Denmark,2010-06-11,2011-11-30,537,8,7485.91,935.74,894.0,0,0,1,1
12430,2011-10-01,Norway,2011-10-27,2011-10-27,0,1,256.4,256.4,256.4,1,0,0,0
12431,2010-01-01,Belgium,2010-01-15,2011-11-04,658,27,10857.97,402.15,1075.27,0,0,1,1
12432,2011-06-01,Norway,2011-06-20,2011-10-28,130,5,5059.32,1011.86,2862.06,0,0,1,1
12433,2010-08-01,Norway,2010-08-20,2011-12-09,476,10,20581.26,2058.13,152.4,0,0,1,1
12434,2010-11-01,Australia,2010-11-23,2011-09-16,297,3,1103.43,367.81,297.29,0,0,1,0
12435,2009-12-01,Denmark,2009-12-02,2011-09-21,658,6,13925.93,2320.99,1008.0,0,0,1,0
12436,2011-09-01,Norway,2011-09-01,2011-09-01,0,1,509.01,509.01,509.01,1,1,1,0
12437,2009-12-01,France,2009-12-02,2011-12-08,736,39,12683.4,325.22,578.28,0,0,1,1
12438,2011-07-01,Norway,2011-07-22,2011-11-25,126,2,2906.85,1453.43,890.07,0,0,1,0
12439,2009-12-01,Cyprus,2009-12-14,2010-01-26,43,2,1158.18,579.09,1081.66,0,1,1,1
12440,2009-12-01,Austria,2009-12-22,2010-09-03,255,2,859.2,429.6,568.51,0,1,1,0
12441,2010-12-01,France,2010-12-08,2010-12-08,0,1,347.1,347.1,347.1,1,1,1,0
12442,2011-12-01,Spain,2011-12-06,2011-12-06,0,1,172.06,172.06,172.06,1,0,0,0
12443,2009-12-01,Norway,2009-12-07,2009-12-07,0,1,485.31,485.31,485.31,1,1,1,0
12444,2011-06-01,Norway,2011-06-21,2011-11-18,150,5,5005.46,1001.09,1870.2,0,0,1,1
12445,2010-10-01,Spain,2010-10-15,2011-11-17,398,2,434.98,217.49,301.58,0,0,1,0
12446,2011-10-01,RSA,2011-10-13,2011-10-13,0,1,1002.31,1002.31,1002.31,1,0,0,0
12447,2011-04-01,Belgium,2011-04-10,2011-04-10,0,1,476.49,476.49,476.49,1,1,1,0
12448,2011-10-01,Spain,2011-10-26,2011-10-26,0,1,449.45,449.45,449.45,1,0,0,0
12449,2010-09-01,Denmark,2010-09-27,2011-11-17,416,6,4835.89,805.98,678.6,0,0,1,1
12450,2010-08-01,Spain,2010-08-22,2011-07-06,318,5,688.2,137.64,148.42,0,1,1,1
12451,2010-06-01,Switzerland,2010-06-28,2011-11-29,519,8,12669.88,1583.73,2151.27,0,0,1,1
12452,2011-11-01,Switzerland,2011-11-23,2011-11-23,0,2,430.57,215.29,350.57,0,0,0,1
12453,2011-07-01,Austria,2011-07-28,2011-07-28,0,1,707.09,707.09,707.09,1,1,1,0
12454,2010-10-01,Spain,2010-10-14,2011-10-14,365,5,16679.78,3335.96,4733.52,0,0,1,1
12455,2009-12-01,Cyprus,2009-12-18,2011-09-27,648,10,5879.95,588.0,1636.43,0,0,1,0
12456,2011-03-01,Switzerland,2011-03-30,2011-10-26,210,3,3181.04,1060.35,940.17,0,0,1,0
12457,2010-09-01,Switzerland,2010-09-30,2011-10-04,369,8,2995.91,374.49,632.68,0,0,1,0
12458,2010-08-01,Switzerland,2010-08-09,2011-09-29,416,4,1777.49,444.37,380.61,0,0,1,1
12459,2010-04-01,Spain,2010-04-13,2010-04-13,0,1,454.36,454.36,454.36,1,1,1,0
12460,2010-09-01,Belgium,2010-09-09,2010-09-09,0,1,326.65,326.65,326.65,1,1,1,0
12461,2011-07-01,Switzerland,2011-07-08,2011-09-06,60,2,826.88,413.44,626.88,0,1,1,1
12462,2011-02-01,Spain,2011-02-09,2011-11-21,285,2,1189.59,594.8,762.11,0,0,1,0
12463,2011-04-01,Belgium,2011-04-12,2011-10-17,188,4,1344.78,336.19,350.57,0,0,1,1
12464,2011-02-01,Belgium,2011-02-03,2011-11-29,299,8,1212.05,151.51,213.9,0,0,1,1
12465,2011-06-01,Belgium,2011-06-23,2011-11-22,152,2,742.19,371.1,440.94,0,0,1,0
12466,2010-01-01,France,2010-01-26,2010-01-26,0,1,56.73,56.73,56.73,1,1,1,0
12467,2010-10-01,USA,2010-10-12,2010-10-12,0,1,132.8,132.8,132.8,1,1,1,0
12468,2010-01-01,Germany,2010-01-26,2011-06-05,495,5,3670.74,734.15,441.23,0,1,1,1
12469,2010-06-01,Thailand,2010-06-21,2010-07-05,14,2,3070.54,1535.27,1956.84,0,1,1,1
12470,2010-01-01,Unspecified,2010-01-19,2010-01-19,0,1,211.95,211.95,211.95,1,1,1,0
12471,2009-12-01,Germany,2009-12-07,2011-12-07,730,79,39963.79,505.87,808.12,0,0,1,1
12472,2009-12-01,Germany,2009-12-14,2011-11-07,693,19,17880.59,941.08,1286.43,0,0,1,1
12473,2011-06-01,Germany,2011-06-01,2011-11-10,162,5,3938.55,787.71,672.19,0,0,1,1
12474,2010-02-01,Germany,2010-02-11,2011-11-22,649,31,12424.45,400.79,158.7,0,0,1,1
12475,2010-10-01,Germany,2010-10-26,2011-10-17,356,2,1149.64,574.82,426.26,0,0,1,0
12476,2010-07-01,Germany,2010-07-26,2011-11-24,486,23,14115.41,613.71,1231.74,0,0,1,1
12477,2010-03-01,Germany,2010-03-26,2011-11-17,601,9,20276.37,2252.93,2021.23,0,0,1,0
12478,2011-12-01,Greece,2011-12-06,2011-12-06,0,1,680.99,680.99,680.99,1,0,0,0
12479,2011-11-01,Germany,2011-11-28,2011-11-28,0,1,527.2,527.2,527.2,1,0,0,0
12480,2010-07-01,Germany,2010-07-20,2011-11-11,479,7,5464.85,780.69,451.9,0,0,1,1
12481,2010-04-01,Germany,2010-04-11,2011-11-17,585,15,12361.39,824.09,2969.6,0,0,1,1
12482,2010-02-01,Sweden,2010-02-24,2010-05-12,77,29,23691.4,816.94,2087.68,0,1,1,1
12483,2010-01-01,Sweden,2010-01-31,2011-11-22,660,19,5120.58,269.5,301.7,0,0,1,1
12484,2010-01-01,Spain,2010-01-27,2011-11-07,649,12,6370.15,530.85,565.3,0,0,1,1
12485,2010-06-01,Sweden,2010-06-28,2010-06-28,0,1,708.1,708.1,708.1,1,1,1,0
12486,2010-10-01,Sweden,2010-10-04,2010-10-04,0,1,1037.28,1037.28,1037.28,1,1,1,0
12487,2009-12-01,Sweden,2009-12-09,2009-12-09,0,1,285.3,285.3,285.3,1,1,1,0
12488,2011-09-01,France,2011-09-25,2011-11-30,66,3,1298.66,432.89,553.39,0,0,0,1
12489,2011-01-01,France,2011-01-07,2011-01-07,0,1,334.93,334.93,334.93,1,1,1,0
12490,2009-12-01,France,2009-12-01,2011-12-04,733,21,9823.64,467.79,603.94,0,0,1,1
12491,2011-11-01,France,2011-11-01,2011-11-01,0,1,460.4,460.4,460.4,1,0,0,0
12492,2010-11-01,Germany,2010-11-01,2011-10-07,340,3,715.21,238.4,452.0,0,0,1,0
12493,2011-05-01,France,2011-05-26,2011-06-27,32,2,433.74,216.87,232.5,0,1,1,1
12494,2010-05-01,France,2010-05-12,2011-11-24,561,9,1872.87,208.1,344.87,0,0,1,0
12495,2010-03-01,Sweden,2010-03-09,2010-03-09,0,1,357.4,357.4,357.4,1,1,1,0
12496,2010-03-01,Spain,2010-03-29,2010-03-29,0,2,54.09,27.05,52.84,0,1,1,1
12497,2010-03-01,Germany,2010-03-05,2011-09-19,563,3,6248.5,2082.83,1211.76,0,0,1,0
12498,2011-10-01,Germany,2011-10-13,2011-11-18,36,3,403.7,134.57,247.25,0,0,0,1
12499,2010-05-01,Germany,2010-05-28,2010-05-28,0,1,393.72,393.72,393.72,1,1,1,0
12500,2010-02-01,Germany,2010-02-04,2011-11-16,650,19,5955.21,313.43,311.43,0,0,1,1
12501,2011-01-01,Germany,2011-01-07,2011-01-07,0,1,2169.39,2169.39,2169.39,1,1,1,0
12502,2011-02-01,Spain,2011-02-03,2011-09-05,214,5,3723.87,744.77,617.25,0,1,1,1
12503,2010-05-01,Spain,2010-05-04,2010-05-04,0,1,1126.0,1126.0,1126.0,1,1,1,0
12504,2010-04-01,Germany,2010-04-22,2011-11-21,578,4,779.05,194.76,134.4,0,0,1,0
12505,2010-10-01,Italy,2010-10-27,2010-10-27,0,1,955.2,955.2,955.2,1,1,1,0
12506,2011-04-01,France,2011-04-21,2011-04-21,0,1,73.5,73.5,73.5,1,1,1,0
12507,2010-05-01,Spain,2010-05-04,2011-07-28,450,4,1844.06,461.02,539.25,0,1,1,0
12508,2011-11-01,France,2011-11-10,2011-11-13,3,2,398.27,199.14,275.19,0,0,0,1
12509,2011-02-01,France,2011-02-28,2011-02-28,0,1,176.5,176.5,176.5,1,1,1,0
12510,2009-12-01,Spain,2009-12-04,2011-07-20,593,9,5178.02,575.34,435.88,0,1,1,1
12511,2010-10-01,Greece,2010-10-07,2010-10-07,0,1,3084.02,3084.02,3084.02,1,1,1,0
12512,2011-10-01,Israel,2011-10-04,2011-10-04,0,2,138.03,69.02,122.33,0,0,0,1
12513,2011-08-01,France,2011-08-19,2011-08-19,0,1,612.29,612.29,612.29,1,1,1,0
12514,2010-03-01,Italy,2010-03-08,2011-03-17,374,2,1597.76,798.88,580.08,0,1,1,0
12515,2010-12-01,Italy,2010-12-21,2010-12-21,0,1,383.7,383.7,383.7,1,1,1,0
12516,2010-04-01,Germany,2010-04-19,2011-09-23,522,4,2648.62,662.16,689.46,0,0,1,0
12517,2011-06-01,Germany,2011-06-02,2011-11-11,162,5,2502.84,500.57,766.95,0,0,1,1
12518,2011-08-01,Germany,2011-08-21,2011-12-09,110,5,2056.89,411.38,324.83,0,0,1,1
12519,2010-08-01,Germany,2010-08-20,2011-10-07,413,2,726.54,363.27,385.7,0,0,1,0
12520,2011-03-01,Germany,2011-03-11,2011-09-21,194,5,2634.26,526.85,987.42,0,0,1,1
12521,2011-07-01,Germany,2011-07-20,2011-07-20,0,1,599.68,599.68,599.68,1,1,1,0
12522,2011-10-01,Germany,2011-10-19,2011-10-31,12,2,192.72,96.36,89.4,0,0,0,1
12523,2009-12-01,France,2009-12-07,2011-11-20,713,23,4372.15,190.09,74.56,0,0,1,1
12524,2010-02-01,Germany,2010-02-08,2011-11-30,660,17,11126.11,654.48,558.9,0,0,1,1
12525,2010-03-01,France,2010-03-02,2010-07-29,149,3,973.73,324.58,566.43,0,1,1,0
12526,2011-09-01,Germany,2011-09-06,2011-12-09,94,3,1316.66,438.89,520.3,0,0,1,1
12527,2010-06-01,Germany,2010-06-28,2011-09-19,448,5,735.51,147.1,301.8,0,0,1,1
12528,2011-01-01,Germany,2011-01-31,2011-11-30,303,6,1933.48,322.25,493.53,0,0,1,1
12529,2010-06-01,France,2010-06-29,2010-06-29,0,1,316.48,316.48,316.48,1,1,1,0
12530,2010-03-01,Germany,2010-03-07,2011-10-11,583,9,3759.26,417.7,357.0,0,0,1,1
12531,2010-01-01,Germany,2010-01-22,2011-11-25,672,2,1933.2,966.6,1807.98,0,0,1,0
12532,2011-11-01,France,2011-11-09,2011-11-09,0,1,349.83,349.83,349.83,1,0,0,0
12533,2009-12-01,Germany,2009-12-01,2010-03-22,111,2,1367.89,683.94,929.92,0,1,1,0
12534,2011-08-01,Germany,2011-08-01,2011-08-01,0,1,1089.18,1089.18,1089.18,1,1,1,0
12535,2011-06-01,France,2011-06-06,2011-09-09,95,2,716.35,358.18,371.45,0,1,1,0
12536,2011-10-01,France,2011-10-11,2011-10-27,16,3,12601.83,4200.61,4279.71,0,0,0,1
12537,2010-10-01,Sweden,2010-10-27,2010-10-27,0,1,732.94,732.94,732.94,1,1,1,0
12538,2010-11-01,Spain,2010-11-26,2011-11-10,349,2,640.45,320.22,276.5,0,0,1,0
12539,2009-12-01,Spain,2009-12-23,2011-11-17,694,7,11214.75,1602.11,2565.83,0,0,1,1
12540,2009-12-01,Spain,2009-12-07,2011-11-20,713,33,22254.49,674.38,412.6,0,0,1,1
12541,2011-03-01,Spain,2011-03-04,2011-11-10,251,3,981.18,327.06,312.4,0,0,1,0
12542,2010-03-01,Spain,2010-03-09,2010-08-12,156,2,481.88,240.94,364.79,0,1,1,0
12543,2010-09-01,Spain,2010-09-17,2010-09-17,0,1,980.25,980.25,980.25,1,1,1,0
12544,2011-11-01,Spain,2011-11-03,2011-11-03,0,1,372.7,372.7,372.7,1,0,0,0
12545,2011-03-01,Spain,2011-03-25,2011-09-25,184,2,1000.39,500.19,628.15,0,0,1,0
12546,2011-09-01,Spain,2011-09-23,2011-10-24,31,2,1161.5,580.75,760.2,0,0,0,1
12547,2010-07-01,Spain,2010-07-27,2011-05-26,303,3,383.58,127.86,175.78,0,1,1,0
12548,2011-06-01,Spain,2011-06-26,2011-06-26,0,1,95.2,95.2,95.2,1,1,1,0
12549,2010-01-01,USA,2010-01-11,2010-05-13,122,6,1575.68,262.61,408.42,0,1,1,1
12550,2011-09-01,Spain,2011-09-21,2011-09-21,0,1,964.83,964.83,964.83,1,0,0,0
12551,2010-12-01,Spain,2010-12-17,2010-12-17,0,1,168.0,168.0,168.0,1,1,1,0
12552,2011-10-01,Italy,2011-10-31,2011-11-01,1,2,437.82,218.91,317.82,0,0,0,1
12553,2010-10-01,France,2010-10-12,2011-12-01,415,12,4608.75,384.06,537.99,0,0,1,1
12554,2010-09-01,Spain,2010-09-17,2010-09-17,0,1,468.5,468.5,468.5,1,1,1,0
12555,2010-01-01,Spain,2010-01-26,2010-01-26,0,1,129.23,129.23,129.23,1,1,1,0
12556,2011-07-01,Spain,2011-07-11,2011-10-20,101,2,603.71,301.85,312.9,0,0,1,0
12557,2009-12-01,Spain,2009-12-17,2011-11-23,706,8,18716.14,2339.52,1952.64,0,0,1,0
12558,2011-12-01,USA,2011-12-02,2011-12-02,0,1,269.96,269.96,269.96,1,0,0,0
12559,2011-01-01,Germany,2011-01-24,2011-02-02,9,2,561.71,280.85,486.11,0,1,1,1
12560,2011-07-01,Germany,2011-07-19,2011-12-04,138,3,2134.01,711.34,1292.31,0,0,1,1
12561,2011-02-01,Germany,2011-02-10,2011-02-10,0,1,238.85,238.85,238.85,1,1,1,0
12562,2010-09-01,France,2010-09-30,2011-12-01,427,9,4966.92,551.88,426.0,0,0,1,1
12563,2010-10-01,Italy,2010-10-27,2010-10-27,0,1,249.24,249.24,249.24,1,1,1,0
12564,2011-03-01,France,2011-03-23,2011-03-23,0,1,456.9,456.9,456.9,1,1,1,0
12565,2011-02-01,Saudi Arabia,2011-02-24,2011-02-24,0,1,145.92,145.92,145.92,1,1,1,0
12566,2011-09-01,Germany,2011-09-14,2011-09-14,0,1,351.65,351.65,351.65,1,0,0,0
12567,2010-02-01,France,2010-02-11,2011-11-17,644,15,13709.86,913.99,522.28,0,0,1,1
12568,2010-03-01,Germany,2010-03-05,2010-03-05,0,1,70.0,70.0,70.0,1,1,1,0
12569,2011-04-01,Germany,2011-04-01,2011-12-07,250,32,4124.69,128.9,348.68,0,0,1,1
12570,2010-01-01,Spain,2010-01-26,2010-01-26,0,1,77.52,77.52,77.52,1,1,1,0
12571,2011-08-01,France,2011-08-10,2011-10-31,82,2,519.61,259.8,248.35,0,0,1,1
12572,2011-10-01,Germany,2011-10-19,2011-12-01,43,2,1020.42,510.21,532.74,0,0,0,1
12573,2010-08-01,France,2010-08-31,2011-04-26,238,5,717.41,143.48,152.02,0,1,1,1
12574,2011-01-01,France,2011-01-28,2011-01-28,0,1,218.45,218.45,218.45,1,1,1,0
12575,2010-07-01,France,2010-07-01,2010-09-08,69,2,622.82,311.41,341.8,0,1,1,1
12576,2010-07-01,Poland,2010-07-01,2011-11-04,491,8,2142.72,267.84,374.75,0,0,1,1
12577,2009-12-01,France,2009-12-03,2011-11-04,701,8,1653.75,206.72,210.55,0,0,1,0
12578,2010-09-01,Italy,2010-09-22,2011-11-18,422,4,4642.45,1160.61,1011.86,0,0,1,1
12579,2011-09-01,France,2011-09-22,2011-09-22,0,1,440.42,440.42,440.42,1,0,0,0
12580,2010-05-01,Germany,2010-05-12,2011-04-07,330,2,1052.9,526.45,637.2,0,1,1,0
12581,2011-10-01,Germany,2011-10-31,2011-10-31,0,1,197.71,197.71,197.71,1,0,0,0
12582,2010-05-01,Finland,2010-05-11,2011-04-15,339,4,1980.4,495.1,837.11,0,1,1,0
12583,2009-12-01,France,2009-12-06,2011-12-07,731,27,14447.44,535.09,817.44,0,0,1,1
12584,2011-03-01,Italy,2011-03-04,2011-12-06,277,9,2338.15,259.79,463.63,0,0,1,0
12585,2010-12-01,Germany,2010-12-23,2011-04-19,117,2,2040.1,1020.05,1262.85,0,1,1,0
12586,2009-12-01,Italy,2009-12-16,2011-11-22,706,4,2062.67,515.67,422.35,0,0,1,0
12587,2011-12-01,Finland,2011-12-02,2011-12-02,0,1,144.0,144.0,144.0,1,0,0,0
12588,2010-04-01,Finland,2010-04-21,2011-10-31,558,4,958.78,239.7,328.9,0,0,1,0
12589,2010-01-01,France,2010-01-19,2011-11-11,661,8,4695.66,586.96,715.5,0,0,1,0
12590,2011-05-01,Germany,2011-05-12,2011-05-12,0,2,9864.26,4932.13,9341.26,0,1,1,1
12591,2010-10-01,Italy,2010-10-27,2011-01-26,91,3,1352.15,450.72,698.15,0,1,1,1
12592,2010-07-01,Germany,2010-07-08,2011-09-08,427,5,2582.66,516.53,715.02,0,1,1,1
12593,2011-05-01,France,2011-05-05,2011-08-23,110,3,418.1,139.37,236.0,0,1,1,1
12594,2010-03-01,Italy,2010-03-03,2011-11-02,609,15,5090.11,339.34,154.14,0,0,1,0
12595,2010-07-01,Germany,2010-07-23,2010-07-23,0,1,299.02,299.02,299.02,1,1,1,0
12596,2011-04-01,Spain,2011-04-11,2011-10-19,191,2,618.27,309.14,269.95,0,0,1,0
12597,2011-03-01,Spain,2011-03-16,2011-11-20,249,4,3811.22,952.81,516.15,0,0,1,1
12598,2010-03-01,France,2010-03-01,2011-11-30,639,11,4534.09,412.19,629.39,0,0,1,1
12599,2010-05-01,France,2010-05-11,2011-11-10,548,13,2296.72,176.67,499.48,0,0,1,1
12600,2009-12-01,Germany,2009-12-07,2011-11-11,704,21,5043.92,240.19,285.9,0,0,1,1
12601,2010-10-01,Germany,2010-10-31,2011-06-03,215,6,681.26,113.54,104.2,0,1,1,1
12602,2011-10-01,France,2011-10-12,2011-10-12,0,1,153.12,153.12,153.12,1,0,0,0
12603,2011-11-01,Germany,2011-11-18,2011-11-18,0,1,739.2,739.2,739.2,1,0,0,0
12604,2011-03-01,France,2011-03-23,2011-09-21,182,2,254.18,127.09,178.5,0,0,1,0
12605,2010-09-01,Germany,2010-09-07,2010-11-28,82,4,1232.95,308.24,256.99,0,1,1,1
12606,2010-01-01,Spain,2010-01-26,2010-01-26,0,1,21.0,21.0,21.0,1,1,1,0
